timestamp,open,high,low,close
2019-12-27,1.1014,1.1200,1.1001,1.1175
2019-11-29,1.1152,1.1176,1.0980,1.1017
2019-10-31,1.0898,1.1183,1.0878,1.1151
2019-09-30,1.0987,1.1110,1.0884,1.0898
2019-08-30,1.1079,1.1250,1.0961,1.0989
2019-07-31,1.1368,1.1371,1.1059,1.1079
2019-06-30,1.1167,1.1412,1.1152,1.1368
2019-05-31,1.1211,1.1265,1.1106,1.1169
2019-04-30,1.1222,1.1324,1.1109,1.1211
2019-03-31,1.1371,1.1448,1.1175,1.1222
2019-02-28,1.1446,1.1488,1.1233,1.1371
2019-01-31,1.1465,1.1570,1.1288,1.1446
2018-12-31,1.1346,1.1486,1.1268,1.1466
2018-11-30,1.1317,1.1500,1.1214,1.1319
2018-10-31,1.1605,1.1625,1.1300,1.1317
2018-09-30,1.1595,1.1815,1.1525,1.1604
2018-08-31,1.1686,1.1733,1.1300,1.1599
2018-07-31,1.1651,1.1791,1.1574,1.1686
2018-06-29,1.1705,1.1852,1.1507,1.1684
2018-05-31,1.2081,1.2084,1.1509,1.1705
2018-04-30,1.2321,1.2414,1.2053,1.2081
2018-03-30,1.2192,1.2476,1.2153,1.2323
2018-02-28,1.2412,1.2556,1.2186,1.2192
2018-01-31,1.2002,1.2538,1.1914,1.2412
2017-12-31,1.1889,1.2026,1.1716,1.1997
2017-11-30,1.1649,1.1961,1.1553,1.1889
2017-10-31,1.1813,1.1880,1.1572,1.1649
2017-09-29,1.1913,1.2092,1.1716,1.1813
2017-08-31,1.1831,1.2070,1.1662,1.1913
2017-07-31,1.1418,1.1846,1.1311,1.1831
2017-06-30,1.1239,1.1446,1.1117,1.1427
2017-05-31,1.0902,1.1268,1.0837,1.1239
2017-04-30,1.0658,1.0951,1.0568,1.0902
2017-03-31,1.0573,1.0906,1.0493,1.0663
2017-02-28,1.0796,1.0829,1.0492,1.0573
2017-01-31,1.0527,1.0812,1.0339,1.0795
2016-12-30,1.0596,1.0874,1.0350,1.0516
2016-11-30,1.0972,1.1300,1.0516,1.0596
2016-10-31,1.1237,1.1244,1.0848,1.0972
2016-09-30,1.1161,1.1327,1.1120,1.1240
2016-08-31,1.1171,1.1366,1.1044,1.1161
2016-07-31,1.1100,1.1197,1.0950,1.1171
2016-06-30,1.1132,1.1428,1.0911,1.1099
2016-05-31,1.1449,1.1616,1.1096,1.1132
2016-04-29,1.1378,1.1465,1.1213,1.1448
2016-03-31,1.0884,1.1412,1.0822,1.1378
2016-02-29,1.0829,1.1376,1.0812,1.0884
2016-01-31,1.0863,1.0985,1.0708,1.0829
2015-12-31,1.0571,1.1060,1.0522,1.0858
2015-11-30,1.0996,1.1053,1.0555,1.0571
2015-10-30,1.1171,1.1495,1.0896,1.1011
2015-09-30,1.1218,1.1460,1.1085,1.1172
2015-08-31,1.0981,1.1714,1.0846,1.1218
2015-07-31,1.1129,1.1216,1.0807,1.0980
2015-06-30,1.0968,1.1436,1.0885,1.1129
2015-05-31,1.1211,1.1467,1.0817,1.0968
2015-04-30,1.0740,1.1266,1.0519,1.1211
2015-03-31,1.1189,1.1240,1.0452,1.0739
2015-02-28,1.1283,1.1534,1.1173,1.1187
2015-01-31,1.2097,1.2107,1.1097,1.1297
2014-12-31,1.2446,1.2570,1.2095,1.2096
2014-11-30,1.2506,1.3000,1.2362,1.2446
2014-10-31,1.2630,1.2875,1.2489,1.2521
2014-09-30,1.3129,1.3159,1.2572,1.2630
2014-08-29,1.3388,1.3443,1.3131,1.3133
2014-07-31,1.3693,1.3696,1.3368,1.3387
2014-06-30,1.3629,1.3695,1.3506,1.3692
2014-05-30,1.3864,1.3990,1.3587,1.3634
2014-04-30,1.3773,1.3904,1.3675,1.3863
2014-03-31,1.3757,1.3964,1.3706,1.3773
2014-02-28,1.3481,1.3823,1.3476,1.3797
2014-01-31,1.3741,1.3775,1.3479,1.3487
2013-12-31,1.3586,1.3881,1.3524,1.3741
2013-11-29,1.3587,1.3621,1.3303,1.3586
2013-10-31,1.3521,1.3831,1.3474,1.3586
2013-09-30,1.3212,1.3567,1.3103,1.3522
2013-08-30,1.3299,1.3450,1.3179,1.3218
2013-07-31,1.3014,1.3343,1.2757,1.3296
2013-06-28,1.2990,1.3415,1.2952,1.3020
2013-05-31,1.3166,1.3242,1.2795,1.2993
2013-04-30,1.2809,1.3199,1.2746,1.3166
2013-03-29,1.3056,1.3134,1.2750,1.2819
2013-02-28,1.3574,1.3711,1.3017,1.3056
2013-01-31,1.3190,1.3593,1.2996,1.3576
2012-12-31,1.2982,1.3308,1.2875,1.3192
2012-11-30,1.2955,1.3027,1.2659,1.2985
2012-10-31,1.2814,1.3139,1.2803,1.2955
2012-09-28,1.2580,1.3172,1.2499,1.2857
2012-08-31,1.2298,1.2637,1.2132,1.2576
2012-07-31,1.2670,1.2673,1.2041,1.2297
2012-06-29,1.2351,1.2747,1.2287,1.2660
2012-05-31,1.3240,1.3284,1.2335,1.2359
2012-04-30,1.3356,1.3380,1.2994,1.3241
2012-03-30,1.3318,1.3385,1.3001,1.3338
2012-02-29,1.3075,1.3485,1.2973,1.3323
2012-01-31,1.2937,1.3233,1.2624,1.3080
2011-12-30,1.3451,1.3548,1.2857,1.2956
2011-11-30,1.3851,1.3937,1.3211,1.3445
2011-10-31,1.3362,1.4246,1.3145,1.3857
2011-09-30,1.4363,1.4401,1.3362,1.3386
2011-08-31,1.4358,1.4548,1.4054,1.4379
2011-07-29,1.4473,1.4577,1.3837,1.4398
2011-06-30,1.4412,1.4696,1.4070,1.4491
2011-05-31,1.4826,1.4940,1.3966,1.4394
2011-04-29,1.4173,1.4882,1.4060,1.4809
2011-03-31,1.3822,1.4250,1.3741,1.4169
2011-02-28,1.3691,1.3861,1.3426,1.3804
2011-01-31,1.3285,1.3758,1.2870,1.3692
2010-12-31,1.3001,1.3497,1.2968,1.3385
2010-11-30,1.3963,1.4282,1.2966,1.2984
2010-10-29,1.3629,1.4157,1.3615,1.3944
2010-09-30,1.2688,1.3683,1.2641,1.3627
2010-08-31,1.3061,1.3334,1.2584,1.2688
2010-07-30,1.2233,1.3107,1.2191,1.3050
2010-06-30,1.2306,1.2467,1.1874,1.2234
2010-05-31,1.3327,1.3330,1.2141,1.2307
2010-04-30,1.3507,1.3692,1.3112,1.3290
2010-03-31,1.3630,1.3818,1.3268,1.3506
2010-02-26,1.3860,1.4026,1.3444,1.3626
2010-01-29,1.4323,1.4580,1.3862,1.3862
2009-12-31,1.5004,1.5141,1.4218,1.4324
2009-11-30,1.4718,1.5145,1.4627,1.5006
2009-10-30,1.4634,1.5063,1.4481,1.4730
2009-09-30,1.4329,1.4844,1.4177,1.4634
2009-08-31,1.4255,1.4449,1.4046,1.4331
2009-07-31,1.4034,1.4304,1.3832,1.4249
2009-06-30,1.4158,1.4340,1.3749,1.4031
2009-05-29,1.3223,1.4170,1.3211,1.4153
2009-04-30,1.3241,1.3582,1.2886,1.3223
2009-03-31,1.2669,1.3739,1.2457,1.3243
2009-02-27,1.2810,1.3094,1.2513,1.2672
2009-01-30,1.3968,1.4069,1.2764,1.2809
2008-12-31,1.2692,1.4719,1.2549,1.3971
2008-11-28,1.2726,1.3116,1.2389,1.2693
2008-10-31,1.4114,1.4174,1.2329,1.2731
2008-09-30,1.4686,1.4867,1.3882,1.4115
2008-08-29,1.5598,1.5630,1.4570,1.4671
2008-07-31,1.5754,1.6035,1.5519,1.5597
2008-06-30,1.5561,1.5842,1.5304,1.5754
2008-05-30,1.5619,1.5817,1.5289,1.5554
2008-04-30,1.5761,1.6017,1.5511,1.5618
2008-03-31,1.5194,1.5903,1.5146,1.5762
2008-02-29,1.4860,1.5238,1.4440,1.5189
2008-01-31,1.4587,1.4918,1.4366,1.4858
2007-12-31,1.4639,1.4770,1.4309,1.4584
2007-11-30,1.4477,1.4966,1.4403,1.4632
2007-10-31,1.4268,1.4503,1.4014,1.4478
2007-09-28,1.3629,1.4278,1.3551,1.4266
2007-08-31,1.3682,1.3838,1.3370,1.3628
2007-07-31,1.3541,1.3851,1.3528,1.3683
2007-06-29,1.3452,1.3551,1.3264,1.3541
2007-05-31,1.3647,1.3673,1.3408,1.3453
2007-04-30,1.3373,1.3679,1.3319,1.3646
2007-03-30,1.3226,1.3410,1.3072,1.3352
2007-02-28,1.3032,1.3259,1.2912,1.3225
2007-01-31,1.3197,1.3296,1.2867,1.3033
2006-12-29,1.3241,1.3367,1.3052,1.3197
2006-11-30,1.2761,1.3274,1.2682,1.3241
2006-10-31,1.2680,1.2782,1.2483,1.2762
2006-09-29,1.2805,1.2874,1.2632,1.2674
2006-08-31,1.2763,1.2938,1.2695,1.2806
2006-07-31,1.2786,1.2859,1.2458,1.2766
2006-06-30,1.2817,1.2980,1.2475,1.2789
2006-05-31,1.2628,1.2971,1.2553,1.2812
2006-04-28,1.2116,1.2635,1.2029,1.2613
2006-03-31,1.1921,1.2207,1.1857,1.2121
2006-02-28,1.2154,1.2166,1.1825,1.1920
2006-01-31,1.1852,1.2322,1.1797,1.2156
2005-12-30,1.1790,1.2061,1.1657,1.1829
2005-11-30,1.1992,1.2084,1.1637,1.1793
2005-10-31,1.2016,1.2207,1.1871,1.1992
2005-09-30,1.2335,1.2589,1.1976,1.2016
2005-08-31,1.2129,1.2486,1.2095,1.2339
2005-07-29,1.2099,1.2254,1.1864,1.2119
2005-06-30,1.2305,1.2353,1.1981,1.2092
2005-05-31,1.2859,1.2990,1.2292,1.2305
2005-04-29,1.2959,1.3124,1.2775,1.2869
2005-03-31,1.3183,1.3481,1.2852,1.2962
2005-02-28,1.3022,1.3278,1.2728,1.3222
2005-01-31,1.3552,1.3580,1.2918,1.3033
2004-12-31,1.3286,1.3667,1.3136,1.3552
2004-11-30,1.2740,1.3334,1.2652,1.3281
2004-10-29,1.2431,1.2841,1.2223,1.2783
2004-09-30,1.2185,1.2444,1.2022,1.2431
2004-08-31,1.2062,1.2388,1.1965,1.2174
2004-07-30,1.2189,1.2460,1.1987,1.2007
2004-06-30,1.2194,1.2351,1.1950,1.2172
2004-05-31,1.1976,1.2295,1.1776,1.2194
2004-04-30,1.2295,1.2388,1.1756,1.1979
2004-03-31,1.2482,1.2539,1.2043,1.2314
2004-02-27,1.2414,1.2927,1.2367,1.2486
2004-01-30,1.2546,1.2898,1.2330,1.2474
2003-12-31,1.1971,1.2646,1.1933,1.2591
2003-11-28,1.1454,1.2015,1.1373,1.1985
2003-10-31,1.1655,1.1862,1.1527,1.1577
2003-09-30,1.0994,1.1691,1.0762,1.1667
2003-08-29,1.1239,1.1427,1.0788,1.0979
2003-07-31,1.1492,1.1610,1.1105,1.1240
2003-06-30,1.1706,1.1928,1.1395,1.1519
2003-05-30,1.1174,1.1929,1.1149,1.1786
2003-04-30,1.0895,1.1187,1.0551,1.1175
2003-03-31,1.0773,1.1084,1.0499,1.0895
2003-02-28,1.0781,1.0936,1.0660,1.0801
2003-01-31,1.0495,1.0907,1.0331,1.0754
2002-12-31,0.9948,1.0503,0.9857,1.0497
2002-11-29,0.9892,1.0171,0.9874,0.9942
2002-10-31,0.9864,0.9926,0.9680,0.9889
2002-09-30,0.9823,0.9989,0.9605,0.9861
2002-08-30,0.9776,0.9917,0.9620,0.9816
2002-07-31,0.9901,1.0209,0.9712,0.9768
2002-06-28,0.9336,0.9990,0.9300,0.9916
2002-05-31,0.9004,0.9414,0.8988,0.9323
2002-04-30,0.8715,0.9049,0.8709,0.9006
2002-03-29,0.8686,0.8868,0.8628,0.8714
2002-02-28,0.8586,0.8800,0.8560,0.8687
2002-01-31,0.8891,0.9066,0.8567,0.8579
2001-12-31,0.8953,0.9080,0.8738,0.8911
